"site","plot","plot_size","date","observers","thaw_depth_1","thaw_depth_2","thaw_depth_3","thaw_depth_4","thaw_depth_5","thaw_depth_6","thaw_depth_7","nadircover_trees_live","nadircover_shrublive","nadircover_shrubdead","nadircover_woodydebrislive","nadircover_woodydebrisdead","nadircover_herbaceouslive","nadircover_herbaceousdead","nadircover_mosslive","nadircover_mossdead","nadircover_liverwortlive","nadircover_liverwortdead","nadircover_mineralsoil","nadircover_equisetumlive","nadircover_water","notes"
"VALSS3-205","B1","5x10","2019-08-19","SR, MB,PS,CW",">100",">100",">100",">100",">100",">100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALSS50-4","B1","5X5","2019-08-17","PS, SR, CW ","59","81","74","76","83","70",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALSS50-4","B2","5X5","2019-08-17","PS, SR, CW ","36","32","52","44","49","28",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-1","B1","10x10","2019-08-16","PS, SR, CW","70","81","88","80","85","86",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-1","B2","10x10","2019-08-16","PS, SR, CW","60","61","53","56","42","45",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-26","B1","5X5","2019-08-15","SR, MB,PS,CW",">100",">100",">100",">100",">100",">100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-26","B2","5X5","2019-08-15","SR, MB,PS,CW",">100",">100",">100",">100",">100",">100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-47","B1","5X10","2019-08-20","SR, MB,PS,CW","58","69","72","74","63","57",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-47","B2","5X10","2019-08-20","SR, MB,PS,CW","72","65","57","63","68","71",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-200","B1","10X10","2019-08-14","SR, MB,PS,CW","34","41","50","29","50","55",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"all rocks; dry upland- hit sand than rocks, no ice"
"VALZF20-200","B2","10X10","2019-08-14","SR, MB,PS,CW","43","54","52","-9999","-9999","-9999",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"all rocky"
"VALZF20-201","B1","5X5","2019-08-15","PS, SR, CW","115","93","120","112","107","96",-9999,0,40,10,0,0,20,20,10,0,0,0,0,0,0,""
"VALZF20-201","B2","5X5","2019-08-15","SR, MB,PS,CW","101","102","111","109","107","113",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF20-202","B1","5X5","2019-08-14","SR, MB,PS,CW",">100",">100",">100",">100",">100",">100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF14-6","B1","10X10","2019-08-18","LBC, DU","58","60","59","55","55","37",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF14-6","B2","10X10","2019-08-18","LBC, DU","83","82","55","77","84","77",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"ZF17-40","1","10X10","2019-08-15","LBC, HS, DU","100",">100","95","83","90","81",-9999,0,15,0,10,0,80,0,5,0,0,0,0,0,0,""
"ZF17-40","2","10X10","2019-08-15","LBC, DU, HS",">100",">100",">100",">100",">100",">100",-9999,0,30,0,5,0,60,0,5,0,0,0,0,0,0,""
"ZF17-40","3","10X10","2019-08-15","LBC, DU, HS",">100",">100",">100",">100",">100",">100",-9999,0,25,0,5,0,60,0,10,0,0,0,0,0,0,""
"ZF17-40","4","10X10","2019-08-15","LBC, DU, HS","34",">100",">100",">100",">100",">100",-9999,0,20,0,12,0,43,0,25,0,0,0,0,0,0,"rocky for thaw depth"
"VALZF46-6","B1","5x5","2019-08-20","MB, PS, SR, CW","> 100","> 100","> 100","> 100","> 100","> 100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF46-6","B2","5x5","2019-08-20","MB, PS, SR, CW","72",">100",">100","105",">100",">100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"VALZF46-10","B1","10x10","2019-08-13","DU, LBC, MB, PS, CW, HS, SR","> 100","> 100","> 100","22","> 100","> 100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sample 4 rock"
"VALZF46-10","B2","10x10","2019-08-13","DU, LBC, MB, PS, CW, HS, SR","> 100","> 100","> 100","> 100","> 100","> 100",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"SS3-64","1","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,70,0,0,3,11,11,5,0,0,0,0,0,0,""
"SS3-64","2","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,55,5,0,5,10,20,5,0,0,0,0,0,0,""
"SS3-64","3","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,60,0,0,5,17,17,1,0,0,0,0,0,0,""
"SS3-64","4","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,50,2,0,3,20,20,5,0,0,0,0,0,0,""
"SS3-64","5","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,80,2,0,0.1,8,7,3,0,0,0,0,0,0,""
"SS3-64","6","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,72,5,0,1,10,10,2,0,0,0,0,0,0,""
"SS3-65","1","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,55,5,0,0,20,20,0,0,0,0,0,0,0,""
"SS3-65","2","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,58,2,0,0,20,20,0,0,0,0,0,0,0,""
"SS3-65","3","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,55,5,0,0,20,20,0,0,0,0,0,0,0,""
"SS3-65","4","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,28,2,0,0,35,35,1,0,0,0,0,0,0,""
"SS3-65","5","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,35,2,0,0,30,30,3,0,0,0,0,0,0,""
"SS3-65","6","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,65,5,0,1,14,13,2,0,0,0,0,0,0,""
"SS3-104","1","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,5,40,0,0,5,5,0,25,20,0,0,0,0,0,"trembling aspen trees 5% live"
"SS3-104","2","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,5,35,0,0,5,5,0,5,45,0,0,0,0,0,"aspen trees "
"SS3-104","3","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,3,40,0,0,0,5,5,2,45,0,0,0,0,0,"aspen trees "
"SS3-104","4","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,2,35,0,0,5,10,0,20,28,0,0,0,0,0,"aspen trees "
"SS3-104","5","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,2,50,0,0,5,2,0,2,39,0,0,0,0,0,"aspen trees "
"SS3-104","6","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,2,46,0,0,2,10,0,0,40,0,0,0,0,0,"aspen trees "
"SS3-200","1","10X10","2019-08-19","CW, SR, PS, MB","77","83","98",">100",">100","72",-9999,0,50,0,0,5,18,17,10,0,0,0,0,0,0,""
"SS3-200","2","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,1,61,0,0,3,10,20,5,0,0,0,0,0,0,"black spruce trees"
"SS3-200","3","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,62,0,0,3,20,10,5,0,0,0,0,0,0,""
"SS3-200","4","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,53,0,0,2,18,17,5,5,0,0,0,0,0,""
"SS3-200","5","10X10","2019-08-19","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,40,0,0,10,20,20,8,2,0,0,0,0,0,""
"SS50-3","1","10X10","2019-08-17","SR, CW","89","72","84","85","78","63",-9999,0,25,5,0,5,20,20,25,0,0,0,0,0,0,""
"SS50-3","2","10X10","2019-08-17","SR, CW","32","38","38","47","37","45",-9999,0,30,0,0,10,30,25,5,0,0,0,0,0,0,""
"SS50-3","3","10X10","2019-08-17","SR, CW","43","66",">100",">100",">100","99",-9999,0,30,0,0,5,20,0,45,0,0,0,0,0,0,""
"SS50-3","4","10X10","2019-08-17","CW, SR, PS","45","54","30","33","42","53",-9999,0,30,5,0,5,20,15,25,0,0,0,0,0,0,"rock for all samples"
"SS50-3","5","10X10","2019-08-17","CW, SR, PS, MB","66","69","74","78","57","62",-9999,0,40,5,0,5,30,10,10,0,0,0,0,0,0,""
"SS50-7","1","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,1,30,5,0,5,49,10,0,0,0,0,0,0,0,"tamarack trees, white pine growth"
"SS50-7","2","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,25,5,0,2,43,20,5,0,0,0,0,0,0,""
"SS50-7","3","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,42,5,0,1,24,23,5,0,0,0,0,0,0,""
"SS50-7","4","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,42,5,0,2,23,23,5,0,0,0,0,0,0,""
"SS50-7","5","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,1,30,3,0,26,35,0,5,0,0,0,0,0,0,"tamarack trees"
"SS50-7","6","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,2,30,0,0,1,35,22,10,0,0,0,0,0,0,"tamarack trees"
"SS50-120","1","10X10","2019-08-17","CW, SR, PS, MB","30","33","29","25","38","29",-9999,30,20,0,0,10,20,0,0,10,0,0,0,0,0,"Jack pine trees"
"SS50-120","2","10X10","2019-08-17","CW, SR, PS, MB","48","49","41","36","41","37",-9999,40,5,0,0,5,30,5,15,0,0,0,0,0,0,"39% jack pine, 1% black spruce"
"SS50-120","3","10X10","2019-08-17","CW, SR, PS, MB","22","25","13","16","19","21",-9999,5,25,0,0,5,62,0,3,0,0,0,0,0,0,"Jack pine trees"
"SS50-120","5","10X10","2019-08-17","CW, SR, PS, MB","46","42","39","51","46","46",-9999,5,10,0,0,15,50,15,5,0,0,0,0,0,0,""
"SS50-120","6","10X10","2019-08-17","CW, SR, PS, MB","44","46","36","35","43","44",-9999,1,20,0,5,0,34,30,10,0,0,0,0,0,0,""
"SS50-200","1","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,54,0,0,1,30,10,5,0,0,0,0,0,0,""
"SS50-200","2","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,60,4,0,3,15,15,3,0,0,0,0,0,0,""
"SS50-200","3","10X10","2019-08-18","CW, SR, PS, MB","97","102",">100",">100",">100",">100",-9999,0,35,0,0,2,40,18,5,0,0,0,0,0,0,""
"SS50-200","4","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,10,20,0,0,5,45,10,10,0,0,0,0,0,0,"black spruce trees"
"SS50-200","5","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,54,5,0,3,30,5,3,0,0,0,0,0,0,""
"SS50-200","6","10X10","2019-08-18","CW, SR, PS, MB",">100",">100",">100",">100",">100",">100",-9999,0,45,0,0,5,40,5,10,0,0,0,0,0,0,""
"ZF20-10","1","10X10","2019-08-15","CW, SR, PS",">100",">100",">100",">100",">100",">100",-9999,0,40,0,0,15,10,0,10,25,0,0,0,0,0,""
"ZF20-10","2","10X10","2019-08-15","CW, SR, PS",">100",">100",">100",">100",">100",">100",-9999,0,30,0,0,15,10,0,15,20,0,0,0,0,0,""
"ZF20-10","3","10X10","2019-08-15","CW, SR, PS",">100",">100",">100",">100",">100",">100",-9999,0,30,0,0,15,35,0,5,15,0,0,0,0,0,""
"ZF20-10","4","10X10","2019-08-15","CW, SR, PS",">100",">100",">100",">100",">100",">100",-9999,0,30,0,10,0,50,0,10,0,0,0,0,0,0,""
"ZF20-10","5","10X10","2019-08-15","CW, SR, PS",">100",">100",">100",">100",">100",">100",-9999,0,30,0,0,10,55,0,5,0,0,0,0,0,0,""
"ZF20-10","6","10X10","2019-08-15","CW, SR, PS",">100",">100",">100",">100",">100",">100",-9999,0,20,0,0,10,60,0,10,0,0,0,0,0,0,""
"ZF20-12","1","10X10","2019-08-16","PS, CW, SR","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,50,0,0,1,25,24,0,0,0,0,0,0,0,""
"ZF20-105","1","10X10","2019-08-16","SR, CW",">100",">100",">100",">100",">100",">100",-9999,0,35,5,0,3,29,28,0,0,0,0,0,0,0,""
"ZF20-105","2","10X10","2019-08-16","SR, CW",">100",">100",">100",">100",">100",">100",-9999,0,30,5,0,3,20,37,5,0,0,0,0,0,0,""
"ZF20-105","3","10X10","2019-08-16","SR, CW",">100",">100",">100",">100",">100",">100",-9999,0,50,6,0,1,20,20,3,0,0,0,0,0,0,""
"ZF20-105","4","10X10","2019-08-16","SR, CW",">100",">100",">100",">100",">100",">100",-9999,0,44,3,0,1,23,24,5,0,0,0,0,0,0,""
"ZF20-105","5","10X10","2019-08-16","SR, CW",">100",">100",">100",">100",">100",">100",-9999,0,0,2,25,25,3,0,40,5,0,0,0,0,0,""
"ZF20-105","6","10X10","2019-08-16","SR, CW",">100",">100",">100",">100",">100",">100",-9999,0,28,2,0,2,30,35,3,0,0,0,0,0,0,""
"ZF14-10","1","10X10","2019-08-15","LBC","62","87",">100",">100",">100",">100",-9999,0,7,0,6,0,60,0,20,0,0,0,0,0,7,"sample 2 = rock"
"ZF14-10","2","10X10","2019-08-15","LBC",">100",">100",">100",">100",">100",">100",-9999,0,3,0,5,0,60,0,32,0,0,0,0,0,0,""
"ZF14-10","3","10X10","2019-08-15","LBC","91","90",">100","101","83",">100",-9999,0,5,0,20,0,65,0,10,0,0,0,0,0,0,""
"ZF14-10","4","10X10","2019-08-15","LBC","59","87","51","79","91","66",-9999,0,5,0,15,0,40,0,40,0,0,0,0,0,0,""
"ZF14-10","5","10X10","2019-08-15","LBC","89",">100","78","84","93",">100",-9999,0,2,0,10,0,53,0,35,0,0,0,0,0,0,""
"ZF14-10","6","10X10","2019-08-15","LBC","76",">100",">100",">100","92",">100",-9999,0,20,0,10,0,55,0,15,0,0,0,0,0,0,""
"ZF14-17","1","10X10","2019-08-14","LBC, DU","52","40","16","92",">100","87",-9999,0,15,0,0.1,0,70,0,0,15,0,0,0,0,0,"Rose, Willow (5 ft tall), ledum, samples 4, 5, and 6 = between hummocks"
"ZF14-17","2","10X10","2019-08-14","LBC, DU","15","50","57","45","67","54",-9999,0,30,0,0.1,0,40,0,0,30,0,0,0,0,0,"Willow clumps > 6 ft, samples 1 and 2 = hummock; sample 5 = crevice hollow"
"ZF14-17","3","10X10","2019-08-14"," LBC","80","21","33","60","52","30",-9999,0,40,0,0.1,0,25,0,0,35,0,0,0,0,0,"samples 1,  4, and 5 = crevice; samples 2 and 3 = hummock earth; sample 6 = hummock"
"ZF14-17","4","10X10","2019-08-14","LBC","26","54","39","31",">100","20",-9999,0,20,0,1,0,37,0,5,0,0,0,0,0,0,"samples 1, 3, 4, and 6 = hummock; samples 2 and 5 = crevice"
"ZF14-40","1","10X10","2019-08-15","LBC, DU, HS",">100",">100",">100",">100",">100",">100",-9999,0,10,0,10,0,15,0,55,0,0,0,0,0,0,""
"ZF14-40","2","10X10","2019-08-15","LBC",">100","86",">100","86",">100","95",-9999,0,45,0,1,0,1,0,53,0,0,0,0,0,0,"moss - live and dead"
"ZF14-40","3","10X10","2019-08-15","LBC",">100",">100",">100","-9999","-9999","-9999",-9999,0,25,0,5,0,45,0,25,0,0,0,0,0,0,"moss - live and dead"
"ZF14-41","1","10X10","2019-08-15","LBC, DU, HS","51",">100","72",">100","-9999","-9999",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sample 3 = rock; sample 5 and 6 = bear 50m from plot"
"ZF14-200","1","10X10","2019-08-20","LBC","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sedge fen, 37cm peat depth"
"ZF14-200","2","10X10","2019-08-20","LBC","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,15,0,1,0,75,0,20,0,0,0,0,0,0,"moss-moss/bare, 33cm peat depth"
"ZF14-200","3","10X10","2019-08-20","LBC","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,30,0,10,0,45,0,15,0,0,0,0,0,0,"moss-moss/bare/H20, 60cm peat depth"
"ZF14-200","4","10X10","2019-08-20","LBC","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,55,0,0,0,45,0,0,0,0,0,0,0,0,"49cm peat depth"
"ZF14-200","5","10X10","2019-08-20","LBC","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,47,0,0,0,50,0,3,0,0,0,0,0,0,"moss-moss/bare/H20, 35cm peat depth"
"ZF14-200","6","10X10","2019-08-20","LBC","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,5,0,0,0,90,0,0,0,0,0,0,0,5,"48 cm peat depth"
"ZF14-210","1","10X10","2019-08-17","LBC","29","59","18","32","20","28",-9999,0,40,0,2,0,35,0,23,0,0,0,0,0,0,"moss - moss/bare, samples 1, 3, and 5 = ice, hummock; samples 2, 4, 6 = rock, crevice"
"ZF14-210","2","10X10","2019-08-17","LBC","25",">100","20","19",">100",">100",-9999,0,20,0,2,0,40,0,38,0,0,0,0,0,0,"moss - moss/bare, most trees growing in crevices; samples 1, 3, and 4 = ice, hummock; sample 2 = hollow; samples 5 and 6 = crevice"
"ZF14-210","3","10X10","2019-08-17","LBC","20","53",">100",">100","63","91",-9999,0,25,0,5,0,40,0,0,30,0,0,0,0,0,"very earth hummocky site with deep peat crevices between; samples 1, 2, and 5 = ice, hummock; samples 3 and 4 = hollow; sample 6 = ice, crevice"
"ZF14-210","4","10X10","2019-08-17","LBC","20",">100","89","27","88",">100",88,0,35,0,10,0,55,0,0.1,0,0,0,0,0,0,"moss - moss/bare, samples 1, 4, and 5 = ice, hummock; samples 2 and 6 = hollow; samples 3 and 7 = ice, hollow"
"ZF14-210","5","10X10","2019-08-17","LBC","81",">100","81","69","66","84",-9999,0,35,0,1,0,45,0,19,0,0,0,0,0,0,"moss - moss/bare, samples 1, 4, and 6 = hummock; samples 2, 3, and 5 = hollow"
"ZF14-210","6","10X10","2019-08-17","LBC","29",">100","17","29",">100",">100",-9999,0,35,0,2,0,30,0,33,0,0,0,0,0,0,"moss - moss/bare, tall willow, sprouting, birch clumps; samples 1, 3, and 4 = hummock; samples 2, 5, and 6 = hollow"
"ZF17-1","1","10X10","2019-08-16","LBC","53","56","46","65","64","66",-9999,0,50,0,2,0,2,0,0,46,0,0,0,0,0,""
"ZF17-1","2","10X10","2019-08-16","LBC","44","46","49","45","41","45",-9999,0,55,0,0,0,2,0,43,0,0,0,0,0,0,""
"ZF17-7","1","10X10","2019-08-18","LBC","73","69","66","78","64","54",53,0,70,0,1,0,5,0,24,0,0,0,0,0,0,"moss - moss/bare; sample 1 & 2 = ice"
"ZF17-7","2","10X10","2019-08-18","LBC",">100","57","55","74","66","64",-9999,0,50,0,1,0,20,0,29,0,0,0,0,0,0,""
"ZF17-7","3","10X10","2019-08-18","LBC",">100",">100","91",">100","63","71",-9999,0,5,0,60,0,10,0,25,0,0,0,0,0,0,""
"ZF17-7","4","1x0.5","2019-08-18","LBC","75","74","81","69","65","64",-9999,0,10,0,30,0,45,0,25,0,0,0,0,0,0,"moss - moss/bare"
"ZF17-7","5","1x0.5","2019-08-18","LBC","75","86","63","69","73","84",-9999,0,50,0,1,0,10,0,39,0,0,0,0,0,0,"moss - moss/bare"
"ZF17-7","6","10X10","2019-08-18","LBC","70","102","101",">100","87","89",-9999,0,35,0,0.1,0,35,0,30,0,0,0,0,0,0,"moss - moss/bare, tamarack in 10x10 ~30 cm tall"
"ZF17-9","1","10X10","2019-08-17","LBC, DU, HS","50","43","43","52","46","51",-9999,0,55,0,1,0,1,0,43,0,0,0,0,0,0,"moss - moss/bare"
"ZF17-9","2","1x0.5","2019-08-17","LBC","60","68","79","48","58","99",-9999,0,40,0,3,0,2,0,55,0,0,0,0,0,0,""
"ZF17-9","3","1x0.5","2019-08-17","LBC","47","48","46","52","53","42",-9999,0,65,0,2,0,1,0,32,0,0,0,0,0,0,"moss - moss/bare"
"ZF17-9","4","10X10","2019-08-17","LBC","59","28","48","82","69","59",-9999,0,50,0,1,0,1,0,48,0,0,0,0,0,0,"moss - moss/bare; sample 2 & 3 = rock"
"ZF17-40","1","10X10","2019-08-15","LBC, HS, DU","100",">100","95","83","90","81",-9999,0,15,0,0.1,0,80,0,5,0,0,0,0,0,0,""
"ZF17-40","2","10X10","2019-08-15","LBC, HS, DU",">100",">100",">100",">100",">100",">100",-9999,0,30,0,5,0,60,0,5,0,0,0,0,0,0,""
"ZF17-40","3","10X10","2019-08-15","LBC, HS, DU",">100",">100",">100","-9999","-9999","-9999",-9999,0,25,0,5,0,60,0,10,0,0,0,0,0,0,""
"ZF17-40","4","10X10","2019-08-15","LBC","34",">100",">100",">100",">100",">100",-9999,0,20,0,12,0,43,0,25,0,0,0,0,0,0,"moss - moss/bare; sample 1 = rock"
"ZF17-100","1","2x2","2019-08-16","LBC","101","102","60","82","88","91",-9999,0,35,0,1,0,25,0,39,0,0,0,0,0,0,"moss - live and dead"
"ZF17-100","2","1.5x1.5","2019-08-16","LBC",">100",">100","99","97","96","91",-9999,0,45,0,0.1,0,5,0,50,0,0,0,0,0,0,""
"ZF17-100","3","10X10","2019-08-16","LBC",">100",">100",">100",">100","98","64",-9999,0,38,0,1,0,21,0,40,0,0,0,0,0,0,"moss - live and dead, Bog site pre-fire moss likely >40 cm"
"ZF17-100","4","10X10","2019-08-16","LBC","81","97",">100","102","100","88",-9999,0,30,0,1,0,20,0,49,0,0,0,0,0,0,""
"ZF17-100","5","10X10","2019-08-16","LBC","82","92",">100","75","103","84",-9999,0,45,0,19,0,35,0,1,0,0,0,0,0,0,"moss - moss/bare"
"ZF17-101","1","1.5x1.5","2019-08-16","LBC","73","73","50","40","47","57",-9999,0,55,0,6,0,3,0,36,0,0,0,0,0,0,""
"ZF17-101","2","1.2x1.2","2019-08-16","LBC","40","44","80","55",">100","83",-9999,0,40,0,4,0,10,0,46,0,0,0,0,0,0,""
"ZF17-101","3","-9999","2019-08-16","LBC","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bear"
"ZF17-130","1","10X10","2019-08-17","LBC","87","69",">100","82",">100","75",-9999,0,60,0,3,0,20,0,17,0,0,0,0,0,0,"moss- moss/bare"
"ZF17-130","2","10X10","2019-08-17","LBC, HS, DU","78","78","92",">100",">100",">100",-9999,0,55,0,10,0,25,0,10,0,0,0,0,0,0,"dry-singed sphegnum, seeding Black spruce in plot center on deeper burned area"
"ZF17-130","3","2x2","2019-08-17","LBC","63","48","52","69","77","88",-9999,0,41,0,2,0,50,0,7,0,0,0,0,0,0,"moss- moss/bare; sample 2 = rock"
"ZF17-130","4","10X10","2019-08-17","LBC","47",">100","62","81",">100","49",-9999,0,35,0,3,0,25,0,37,0,0,0,0,0,0,"moss- moss/bare; sample 1 = rock"
"ZF17-130","5","1.10X10.1","2019-08-17","LBC","66","71","56","71","72","69",-9999,0,40,0,5,0,30,0,25,0,0,0,0,0,0,"moss- moss/bare"
"ZF17-130","6","10X10","2019-08-17","LBC","86","61","85",">100",">100",">100",-9999,0,40,0,3,0,15,0,42,0,0,0,0,0,0,"moss- moss/bare; sample 2 = rock"
"ZF14-2","1","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,75,0,0,0,23,0,2,0,0,0,0,0,0,""
"ZF14-2","2","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,75,0,0,0.1,21,0,3,0,0,0,0,0,0,""
"ZF14-2","3","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,40,0,0,1,55,0,4,0,0,0,0,0,0,""
"ZF14-2","4","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,34,0,0,1,60,0,4,1,0,0,0,0,0,""
"ZF14-2","5","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,60,0,0,0,40,0,4,0,0,0,0,0,0,""
"ZF14-3","1","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,40,0,0,2,43,0,15,0,0,0,0,0,0,""
"ZF14-3","2","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,32,0,0,3,10,0,25,30,0,0,0,0,0,"dead moss charred"
"ZF14-3","3","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,37,0,0,3,20,0,20,20,0,0,0,0,0,""
"ZF14-3","4","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,30,0,0,3,25,0,7,35,0,0,0,0,0,""
"ZF14-3","5","10X10","2019-08-19","DU, HS","-9999","-9999","-9999","-9999","-9999","-9999",-9999,0,40,0,0,1,30,0,5,25,0,0,0,0,0,"site partially inundated with 1-6cm; 5% of site inundated, of that 5% 1/2 is herbacious and 1/2 dead moss"
"ZF46-14","1","10X10","2019-08-13","LBC, CW","65","90","92","70","75","73",-9999,0,20,0,15,0,55,0,10,0,0,0,0,0,0,""
"ZF46-14","2","10X10","2019-08-13","LBC, CW","90",">120",">120",">120","88","69",-9999,0,30,0,20,0,35,0,15,0,0,0,0,0,0,""
"ZF46-14","3","10X10","2019-08-13","LBC, CW, SR","63","72","77","77","56","62",-9999,0,20,0,15,0,20,0,45,0,0,0,0,0,0,""
"ZF46-14","4","10X10","2019-08-13","LBC, CW","36","33","43","52","51","22",-9999,0,5,0,10,0,45,0,40,0,0,0,0,0,0,"Sample 1 & 2-rock"
"ZF46-14","5","10X10","2019-08-13","LBC, CW",">120",">120","84","83","79","94",-9999,0,10,0,10,0,75,0,5,0,0,0,0,0,0,""
"ZF46-14","6","10X10","2019-08-13","LBC, SR, CW, HS","47","51","40","77","38","56",-9999,0,5,0,10,0,40,0,45,0,0,0,0,0,0,""
