"site","observers","date","start_time","weather","past_12_hours","site_notes","probe_depth","vwc_plot1","plot_1_period","vwc_plot2","plot_2_period","vwc_plot3","plot_3_period","vwc_plot4","plot_4_period","vwc_plot5","plot_5_period","vwc_plot6","plot_6_period"
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",12,32.6,1.606,27.4,1.325,"6.6","1.207",44.1,1.815,26.5,1.512,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",12,54.8,2.079,42.6,1.785,"18.3","1.39",12.3,1.299,26.8,1.517,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",12,53.7,2.057,9.1,1.25,"2.3","1.127",17.8,1.383,2.6,1.134,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",12,5.7,1.19,13.3,1.316,"19.9","1.415",39.3,1.72,59.6,2.167,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",12,10.6,1.273,4.4,1.169,"71.3","2.291",46.6,1.871,46.8,1.873,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",20,48.3,2.991,2,1.614,"57.3","3.295",55.9,3.246,57.1,3.288,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",20,37.7,2.603,35.4,2.531,"27.6","2.317",55.4,3.229,65.3,3.499,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",20,56.5,3.266,26.9,2.301,"29.4","2.362",51.9,3.149,8.9,1.821,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",20,51.8,3.143,56.9,3.281,"35.9","2.548",51.9,3.147,58.9,3.466,-9999,-9999
"SS3-200","Tyler Rea, Ben Paulsen","9/5/2019","14:23","Unknown","Light rain, high 12 C, low 11 C","Burnt sb, shrubby, some living La/sb left from fire",20,46.8,2.929,54.8,3.204,"42.9","2.777",59.4,3.359,45.1,2.859,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",12,5.5,1.189,6,1.057,"10.9","1.277",3.1,1.142,7,1.214,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",12,6.7,1.209,13.6,1.32,"3.8","1.156",4.6,1.171,15.6,1.349,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",12,29.4,1.556,4.8,1.173,"15.9","1.354",6.9,1.211,5.5,1.187,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",12,35,1.646,7.3,1.217,"11.9","1.293",44.4,1.822,6.4,1.205,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",12,40.6,1.745,10.3,1.268,"0.3","1.084",6,1.264,7.1,1.216,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",20,49.9,3.062,38.9,2.641,"26.9","2.291",48.4,2.996,42.6,2.767,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",20,50.7,3.096,35.9,2.546,"46.8","2.929",46.5,2.919,37.8,2.606,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",20,44.9,2.857,37.1,2.58,"37.9","2.605",34,2.489,32.2,2.438,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",20,49.3,3.037,17.5,2.045,"40.5","2.69",46.3,2.908,22.3,2.171,-9999,-9999
"VALSS3-205","Tyler Rea, Ben Paulsen","9/5/2019","14:00","Unknown","Light rain, high 12 C, low 11 C","",20,45.6,2.879,9.4,1.828,"28.3","2.329",32.9,2.456,39.6,2.663,-9999,-9999
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",12,49.1,1.929,40.5,1.744,"48.6","1.918",46.6,1.867,37.5,37.5,46.7,1.871
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",12,49.8,1.945,47.7,1.893,"36.2","1.666",49.4,1.933,33.8,33.8,35.8,1.638
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",12,28.5,1.542,49.2,1.932,"8.9","1.247",46.9,1.877,35.8,35.8,28,1.535
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",12,42,1.772,46.3,1.864,"52.5","2.029",41.8,1.768,46.1,46.1,45,1.834
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",12,18.9,1.399,33.9,1.629,"39.8","1.732",33.7,1.623,42.3,42.3,46.8,1.875
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",20,50.2,3.076,48,2.981,"51.8","3.147",48.3,2.992,48.9,48.9,51.5,3.134
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",20,54.1,3.178,58.4,3.329,"57.3","3.297",51.6,3.134,51.9,51.9,53.8,3.167
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",20,45.6,2.882,57.9,3.314,"43.1","2.785",56.4,3.264,49,49,54.1,3.176
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",20,56.3,3.261,50.8,3.101,"54.3","3.194",51.4,3.125,44.8,44.8,48.9,3.02
"SS3-64","Tyler Rea, Ben Paulsen","9/5/2019","15:15","Unknown","Light rain, high 12 C, low 11 C","Burnt, treed fen",20,54.2,3.179,55.5,3.233,"56.8","3.278",54.3,3.187,51.9,51.9,55,3.213
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",12,9.9,1.264,50.3,1.964,"34.2","1.632",5.8,1.194,29.1,1.551,38.8,1.712
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",12,46.7,1.871,41.4,1.762,"38.5","1.707",37.6,1.689,46.3,1.862,36.9,1.677
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",12,36.4,1.669,35.3,1.65,"6.2","1.199",35.9,1.661,34.8,1.642,49.5,1.938
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",12,39.5,1.725,51.1,1.343,"18.7","1.396",33.6,1.623,41.5,1.763,40.1,1.735
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",12,39.5,1.725,46.8,1.875,"15.2","1.344",42.7,1.786,48.7,1.92,28.5,1.542
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",20,53.8,3.165,44.7,2.844,"47","2.938",39.9,2.674,51.2,3.118,54.3,3.184
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",20,52.1,3.158,44.8,2.847,"49.1","3.029",39,2.647,49.2,3.03,51.9,3.151
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",20,50.3,3.079,49.5,3.043,"45","2.827",38.9,2.643,50.4,3.083,56.8,3.278
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",20,51.6,3.138,47.5,2.959,"50.8","3.1",38.1,2.617,56.8,3.279,56.2,3.256
"SS3-65","Tyler Rea, Ben Paulsen","9/5/2019","14:54","Unknown","Light rain, high 12 C, low 11 C","open shrubby fen",20,19.7,2.103,56.9,3.286,"47.9","2.976",27.9,2.325,48.7,3.011,48.8,3.013
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",6,-9999,-9999,-9999,-9999,"-9999","-9999",-9999,-9999,-9999,-9999,-9999,-9999
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",12,5.4,1.184,11,1.282,"9.7","1.26",-9999,-9999,5.7,1.189,4.8,1.173
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",12,7.8,1.226,12.9,1.312,"7.8","1.231",-9999,-9999,8.3,1.237,3.9,1.157
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",12,7.5,1.224,14,1.327,"4.6","1.171",-9999,-9999,7.3,1.218,3.9,1.158
"SS50-120","Tyler Rea, Ben Paulsen","9/5/2019","12:56","Unknown","Light rain, high 12 C, low 11 C","regenerating mixed P; burn; lots of rocks blocking probs; couldn’t get all; 5 flag out of place from animal - put in close as possibel to coordinates; no coordinates for 4",12,4.8,1.172,10.4,1.273,"16.4","1.363",-9999,-9999,6.8,1.208,3.6,1.151
